time,,,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Name,Year,Month,Day,Eruption_Date,VEI,Lat_Eruption,Lon_Eruption,Lat_Dif,Lon_dif,Date_Dif
1996-07-24T01:52:17.500Z,7/24/1996,T01:52:17.500Z,64.263,-17.993,10,3.7,mb,,,,1.3,us,usp0007mh7,2014-11-07T01:00:50.049Z,Iceland,earthquake,,,,6,reviewed,us,us,Grimsvotn,1996,9,30,9/30/1996,3,64.42,-17.33,0.157,0.663,68
1991-08-22T00:58:40.140Z,8/22/1991,T00:58:40.140Z,-45.816,-72.809,10,5.1,ms,,,,1.1,us,usp0004vpr,2014-11-07T00:49:07.109Z,"Aisen, Chile",earthquake,,,,3,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.084,0.156,14
1991-08-15T12:55:36.520Z,8/15/1991,T12:55:36.520Z,-45.761,-72.465,10,5.1,mb,,,,1.3,us,usp0004vd6,2014-11-07T00:49:05.901Z,"Aisen, Chile",earthquake,,,,4,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.139,0.5,7
1991-08-15T11:50:03.500Z,8/15/1991,T11:50:03.500Z,-45.74,-72.537,10,5.1,mb,,,,1,us,usp0004vd4,2014-11-07T00:49:05.886Z,"Aisen, Chile",earthquake,,,,4,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.16,0.428,7
1991-08-15T10:58:13.990Z,8/15/1991,T10:58:13.990Z,-45.713,-72.557,10,5.3,mb,,,,1.5,us,usp0004vd3,2014-11-07T00:49:05.878Z,"Aisen, Chile",earthquake,,,,3,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.187,0.408,7
1991-08-15T09:46:16.110Z,8/15/1991,T09:46:16.110Z,-45.801,-72.611,13.2,5.4,ms,,,,1.5,us,usp0004vd1,2014-11-07T00:49:05.866Z,"Aisen, Chile",earthquake,,,,10,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.099,0.354,7
1991-08-15T08:51:21.870Z,8/15/1991,T08:51:21.870Z,-45.746,-72.39,10,4.9,mb,,,,1.1,us,usp0004vd0,2014-11-07T00:49:05.859Z,"Aisen, Chile",earthquake,,,,3,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.154,0.575,7
1991-08-15T08:10:17.110Z,8/15/1991,T08:10:17.110Z,-45.826,-72.825,10,5,mb,,,,1,us,usp0004vcy,2014-11-07T00:49:05.837Z,"Aisen, Chile",earthquake,,,,3,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.074,0.14,7
1991-08-15T02:38:15.010Z,8/15/1991,T02:38:15.010Z,-45.608,-72.543,10,5.2,mb,,,,1.1,us,usp0004vcb,2014-11-07T00:49:05.449Z,"Aisen, Chile",earthquake,,,,9,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.292,0.422,7
1991-08-14T09:01:05.860Z,8/14/1991,T09:01:05.860Z,-45.74,-72.591,10,5.1,mb,,,,1.1,us,usp0004vbc,2014-11-07T00:49:05.106Z,"Aisen, Chile",earthquake,,,,5,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.16,0.374,6
1991-08-08T18:22:29.570Z,8/8/1991,T18:22:29.570Z,-45.516,-72.691,33,5,mb,,,,0.8,us,usp0004v4e,2014-11-07T00:49:04.207Z,"Aisen, Chile",earthquake,,,,3,reviewed,us,us,Hudson,1991,8,8,8/8/1991,3,-45.9,-72.965,0.384,0.274,0
2000-11-03T20:58:47.020Z,11/3/2000,T20:58:47.020Z,19.1827,-155.4643333,33.726,2.76,ml,36,222,,0.1,hv,hv1299154,2020-03-31T19:24:30.620Z,"Hawaii region, Hawaii",earthquake,0.57,0.64,0.07,18,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.2423,0.1723333,0
2000-10-29T20:58:14.800Z,10/29/2000,T20:58:14.800Z,19.3657,-155.2878333,29.282,2.52,ml,40,42,,0.12,hv,hv1298764,2020-03-31T19:24:27.990Z,"Hawaii region, Hawaii",earthquake,0.52,0.6,0.17,21,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.0593,0.0041667,5
2000-10-25T07:26:43.530Z,10/25/2000,T07:26:43.530Z,19.3907,-155.2768333,2.009,2.53,ml,31,52,,0.11,hv,hv1298469,2020-03-31T19:24:23.270Z,"Hawaii region, Hawaii",earthquake,0.25,0.2,0.13,11,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.0343,0.0151667,9
2000-10-22T23:24:32.720Z,10/22/2000,T23:24:32.720Z,19.489,-155.3265,12.363,2.91,ml,41,54,,0.13,hv,hv1298306,2020-03-31T19:24:21.270Z,"Hawaii region, Hawaii",earthquake,0.37,0.26,0.07,11,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.064,0.0345,12
2000-10-22T00:25:26.670Z,10/22/2000,T00:25:26.670Z,19.3533,-155.0795,7.831,3.19,ml,35,150,,0.11,hv,hv1298257,2020-03-31T19:24:20.430Z,"Hawaii region, Hawaii",earthquake,0.51,0.43,0.08,11,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.0717,0.2125,12
2000-10-07T11:08:32.470Z,10/7/2000,T11:08:32.470Z,19.4145,-155.6406667,-0.62,2.72,ml,29,149,,0.12,hv,hv1297279,2020-03-31T19:24:10.360Z,"Hawaii region, Hawaii",earthquake,0.4,0.36,0.15,17,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.0105,0.3486667,27
2000-09-04T05:06:21.640Z,9/4/2000,T05:06:21.640Z,19.212,-155.4863333,7.423,2.85,ml,42,101,,0.19,hv,hv1294866,2020-03-31T20:38:24.320Z,"Hawaii region, Hawaii",earthquake,0.52,0.67,0.12,12,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.213,0.1943333,60
2000-08-20T11:47:45.470Z,8/20/2000,T11:47:45.470Z,19.0833,-155.4891667,29.9,2.91,ml,35,180,,0.09,hv,hv1293895,2020-03-31T20:36:30.240Z,"Hawaii region, Hawaii",earthquake,0.72,1,0.08,10,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.3417,0.1971667,75
2000-08-20T09:37:38.250Z,8/20/2000,T09:37:38.250Z,19.3893,-155.242,2.382,2.76,ml,28,81,,0.11,hv,hv1293887,2020-03-31T20:36:30.060Z,"Hawaii region, Hawaii",earthquake,0.25,0.31,0.1,5,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.0357,0.05,75
2000-08-07T05:00:51.780Z,8/7/2000,T05:00:51.780Z,19.545,-155.1673333,20.515,3.11,ml,15,246,,0.12,hv,hv1293018,2020-03-31T20:35:37.520Z,"Hawaii region, Hawaii",earthquake,1.88,2.17,0.12,5,reviewed,hv,hv,Kilauea,2000,11,3,11/3/2000,0,19.425,-155.292,0.12,0.1246667,88
2000-06-30T19:11:44.210Z,6/30/2000,T19:11:44.210Z,34.088,139.264,10,4.5,mb,33,,,1.04,us,usp0009vgf,2014-11-07T01:10:26.313Z,"near the south coast of Honshu, Japan",earthquake,,,,18,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.008,0.266,3
2000-06-30T18:57:17.290Z,6/30/2000,T18:57:17.290Z,34.171,139.363,10,4.3,mb,34,,,1.15,us,usp0009vgc,2014-11-07T01:10:26.304Z,"near the south coast of Honshu, Japan",earthquake,,,,10,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.091,0.167,3
2000-06-30T17:41:16.960Z,6/30/2000,T17:41:16.960Z,34.073,139.374,10,4.8,mb,76,,,1.11,us,usp0009vgb,2014-11-07T01:10:26.295Z,"near the south coast of Honshu, Japan",earthquake,,,,45,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.007,0.156,3
2000-06-30T15:02:42.840Z,6/30/2000,T15:02:42.840Z,34.029,139.373,10,3.7,mb,13,,,1.3,us,usp0009vg7,2014-11-07T01:10:26.289Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.051,0.157,3
2000-06-30T11:42:49.220Z,6/30/2000,T11:42:49.220Z,34.23,139.316,10,4.7,mb,66,,,0.98,us,usp0009vg3,2014-11-07T01:10:26.275Z,"near the south coast of Honshu, Japan",earthquake,,,,31,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.15,0.214,3
2000-06-30T09:53:59.900Z,6/30/2000,T09:53:59.900Z,33.988,139.187,10,4.6,mb,53,,,1.17,us,usp0009vfy,2014-11-07T01:10:26.260Z,"Izu Islands, Japan region",earthquake,,,,27,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.092,0.343,3
2000-06-29T18:54:03.940Z,6/29/2000,T18:54:03.940Z,33.997,139.35,10,4.4,mb,23,,,1.12,us,usp0009vex,2014-11-07T01:10:26.169Z,"Izu Islands, Japan region",earthquake,,,,5,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.083,0.18,2
2000-06-29T17:32:27.700Z,6/29/2000,T17:32:27.700Z,33.92,139.46,10,4.1,mb,16,,,1.19,us,usp0009vet,2014-11-07T01:10:26.161Z,"Izu Islands, Japan region",earthquake,,,,6,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.16,0.07,2
2000-06-29T16:27:55.220Z,6/29/2000,T16:27:55.220Z,34.073,139.409,10,4.5,mb,24,,,1.31,us,usp0009vem,2014-11-07T01:10:26.152Z,"near the south coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.007,0.121,2
2000-06-29T16:13:56.020Z,6/29/2000,T16:13:56.020Z,34.045,139.434,10,4.7,mb,46,,,1.03,us,usp0009veh,2014-11-07T01:10:26.143Z,"near the south coast of Honshu, Japan",earthquake,,,,14,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.035,0.096,2
2000-06-29T16:04:00.190Z,6/29/2000,T16:04:00.190Z,34.249,139.205,10,4.8,mb,107,,,0.93,us,usp0009vef,2014-11-07T01:10:26.130Z,"near the south coast of Honshu, Japan",earthquake,,,,50,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.169,0.325,2
2000-06-29T15:52:03.830Z,6/29/2000,T15:52:03.830Z,34.14,139.27,10,4.6,mb,46,,,1.31,us,usp0009vee,2014-11-07T01:10:26.123Z,"near the south coast of Honshu, Japan",earthquake,,,,20,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.06,0.26,2
2000-06-29T14:26:17.930Z,6/29/2000,T14:26:17.930Z,33.967,139.459,10,4.4,mb,38,,,1.1,us,usp0009ve9,2014-11-07T01:10:26.113Z,"Izu Islands, Japan region",earthquake,,,,14,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.113,0.071,2
2000-06-29T14:18:48.960Z,6/29/2000,T14:18:48.960Z,34.05,139.363,10,4.6,mb,10,,,1.17,us,usp0009ve8,2014-11-07T01:10:26.111Z,"near the south coast of Honshu, Japan",earthquake,,,,3,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.03,0.167,2
2000-06-29T14:04:23.160Z,6/29/2000,T14:04:23.160Z,34.079,139.116,10,4.4,mb,11,,,1.39,us,usp0009ve3,2014-11-07T01:10:26.101Z,"near the south coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.001,0.414,2
2000-06-29T13:07:55.550Z,6/29/2000,T13:07:55.550Z,34.094,139.245,10,4.7,mb,82,,,1.47,us,usp0009vdw,2014-11-07T01:10:26.083Z,"near the south coast of Honshu, Japan",earthquake,,,,41,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.014,0.285,2
2000-06-29T12:51:23.700Z,6/29/2000,T12:51:23.700Z,34.076,139.366,10,4.2,mb,14,,,1.18,us,usp0009vdv,2014-11-07T01:10:26.081Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.004,0.164,2
2000-06-29T12:13:26.730Z,6/29/2000,T12:13:26.730Z,34.101,139.445,10,4.3,mb,37,,,1.19,us,usp0009vdt,2014-11-07T01:10:26.076Z,"near the south coast of Honshu, Japan",earthquake,,,,13,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.021,0.085,2
2000-06-29T11:10:54.140Z,6/29/2000,T11:10:54.140Z,34.224,139.746,10,3.6,mb,8,,,1.24,us,usp0009vdm,2014-11-07T01:10:26.068Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.144,0.216,2
2000-06-29T11:07:02.850Z,6/29/2000,T11:07:02.850Z,33.863,139.357,10,3.7,mb,10,,,1.47,us,usp0009vdk,2014-11-07T01:10:26.066Z,"Izu Islands, Japan region",earthquake,,,,1,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.217,0.173,2
2000-06-29T10:55:33.830Z,6/29/2000,T10:55:33.830Z,34.002,139.132,10,3.7,mb,6,,,0.83,us,usp0009vdj,2014-11-07T01:10:26.065Z,"near the south coast of Honshu, Japan",earthquake,,,,1,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.078,0.398,2
2000-06-29T10:30:03.750Z,6/29/2000,T10:30:03.750Z,34.052,139.127,10,4.3,mb,16,,,1.15,us,usp0009vdg,2014-11-07T01:10:26.061Z,"near the south coast of Honshu, Japan",earthquake,,,,6,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.028,0.403,2
2000-06-29T10:15:00.080Z,6/29/2000,T10:15:00.080Z,34.101,139.61,10,3.8,mb,12,,,1.52,us,usp0009vdf,2014-11-07T01:10:26.059Z,"near the south coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.021,0.08,2
2000-06-29T08:59:41.040Z,6/29/2000,T08:59:41.040Z,33.983,139.492,10,4.5,mb,39,,,1.22,us,usp0009vd6,2014-11-07T01:10:26.033Z,"Izu Islands, Japan region",earthquake,,,,11,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.097,0.038,2
2000-06-29T07:49:29.070Z,6/29/2000,T07:49:29.070Z,34.237,139.231,10,4.2,mb,20,,,0.86,us,usp0009vcy,2014-11-07T01:10:25.981Z,"near the south coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.157,0.299,2
2000-06-29T06:30:22.090Z,6/29/2000,T06:30:22.090Z,34.027,139.359,10,5.6,mwc,201,,,1.31,us,usp0009vcx,2020-09-15T21:28:29.467Z,"near the south coast of Honshu, Japan",earthquake,,,,,reviewed,us,hrv,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.053,0.171,2
2000-06-29T05:54:55.400Z,6/29/2000,T05:54:55.400Z,34.151,139.422,10,5.1,mwc,61,,,1.39,us,usp0009vcu,2016-11-09T22:52:06.324Z,"near the south coast of Honshu, Japan",earthquake,,,,,reviewed,us,hrv,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.071,0.108,2
2000-06-29T04:53:26.310Z,6/29/2000,T04:53:26.310Z,34.082,139.333,10,5.3,mwc,96,,,0.98,us,usp0009vcq,2016-11-09T22:52:05.815Z,"near the south coast of Honshu, Japan",earthquake,,,,,reviewed,us,hrv,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.002,0.197,2
2000-06-29T04:48:22.730Z,6/29/2000,T04:48:22.730Z,33.929,139.408,10,4.2,mb,24,,,1.14,us,usp0009vcp,2014-11-07T01:10:25.914Z,"Izu Islands, Japan region",earthquake,,,,8,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.151,0.122,2
2000-06-29T04:30:32.290Z,6/29/2000,T04:30:32.290Z,34.09,139.639,10,4,mb,14,,,1.37,us,usp0009vcn,2014-11-07T01:10:25.912Z,"near the south coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.01,0.109,2
2000-06-29T04:02:36.920Z,6/29/2000,T04:02:36.920Z,34.056,139.561,10,5.5,mwc,169,,,1.14,us,usp0009vck,2020-09-15T21:28:17.881Z,"near the south coast of Honshu, Japan",earthquake,,,,,reviewed,us,hrv,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.024,0.031,2
2000-06-29T03:47:16.400Z,6/29/2000,T03:47:16.400Z,33.835,139.417,10,3.6,mb,10,,,1.1,us,usp0009vch,2014-11-07T01:10:25.886Z,"Izu Islands, Japan region",earthquake,,,,1,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.245,0.113,2
2000-06-29T03:41:55.480Z,6/29/2000,T03:41:55.480Z,34.074,139.344,10,4.5,mb,22,,,1.02,us,usp0009vcg,2014-11-07T01:10:25.884Z,"near the south coast of Honshu, Japan",earthquake,,,,7,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.006,0.186,2
2000-06-29T03:40:02.770Z,6/29/2000,T03:40:02.770Z,34.144,139.225,10,4.3,mb,24,,,1.01,us,usp0009vcf,2014-11-07T01:10:25.881Z,"near the south coast of Honshu, Japan",earthquake,,,,10,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.064,0.305,2
2000-06-29T03:34:26.260Z,6/29/2000,T03:34:26.260Z,34.244,139.141,10,5.1,mb,141,,,0.78,us,usp0009vce,2014-11-07T01:10:25.865Z,"near the south coast of Honshu, Japan",earthquake,,,,62,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.164,0.389,2
2000-06-29T03:25:22.510Z,6/29/2000,T03:25:22.510Z,33.994,139.614,10,4.7,mb,25,,,1.19,us,usp0009vcd,2014-11-07T01:10:25.862Z,"Izu Islands, Japan region",earthquake,,,,4,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.086,0.084,2
2000-06-29T03:18:02.390Z,6/29/2000,T03:18:02.390Z,34.027,139.398,10,4.5,mb,54,,,1.17,us,usp0009vcc,2014-11-07T01:10:25.858Z,"near the south coast of Honshu, Japan",earthquake,,,,23,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.053,0.132,2
2000-06-29T03:11:51.430Z,6/29/2000,T03:11:51.430Z,34.155,139.18,10,5.3,mb,202,,,1.03,us,usp0009vcb,2014-11-07T01:10:25.836Z,"near the south coast of Honshu, Japan",earthquake,,,,93,reviewed,us,us,Miyake_Jima,2000,6,27,6/27/2000,0,34.08,139.53,0.075,0.35,2
